Fund,Month,Net Return
Riverstone Partners,2020-05-01,1.89%
Riverstone Partners,2020-06-01,0.6%
Riverstone Partners,2020-07-01,-4.87%
Riverstone Partners,2020-08-01,4.04%
Riverstone Partners,2020-09-01,4.19%
Riverstone Partners,2020-10-01,0.99%
Riverstone Partners,2020-11-01,0.85%
Riverstone Partners,2020-12-01,2.2%
Riverstone Partners,2021-01-01,-0.78%
Riverstone Partners,2021-02-01,-1.81%
Riverstone Partners,2021-03-01,-0.2%
Riverstone Partners,2021-04-01,2.28%
Riverstone Partners,2021-05-01,1.51%
Riverstone Partners,2021-06-01,-0.5%
Riverstone Partners,2021-07-01,-0.66%
Riverstone Partners,2021-08-01,0.04%
Riverstone Partners,2021-09-01,6.05%
Riverstone Partners,2021-10-01,2.1%
Riverstone Partners,2021-11-01,4.65%
Riverstone Partners,2021-12-01,-0.3%
Riverstone Partners,2022-01-01,3.33%
Riverstone Partners,2022-02-01,2.43%
Riverstone Partners,2022-03-01,-0.4%
Riverstone Partners,2022-04-01,1.32%
Riverstone Partners,2022-05-01,2.2%
Riverstone Partners,2022-06-01,-1.43%
Riverstone Partners,2022-07-01,2.41%
Riverstone Partners,2022-08-01,-0.12%
Riverstone Partners,2022-09-01,1.52%
Riverstone Partners,2022-10-01,-1.1%
Riverstone Partners,2022-11-01,-0.37%
Riverstone Partners,2022-12-01,-1.82%
Riverstone Partners,2023-01-01,4.1%
Riverstone Partners,2023-02-01,0.47%
Riverstone Partners,2023-03-01,0.54%
Riverstone Partners,2023-04-01,4.51%
Riverstone Partners,2023-05-01,2.38%
Riverstone Partners,2023-06-01,0.54%
Riverstone Partners,2023-07-01,-1.42%
Riverstone Partners,2023-08-01,3.11%
Riverstone Partners,2023-09-01,2.02%
Riverstone Partners,2023-10-01,2.23%
Riverstone Partners,2023-11-01,3.87%
Riverstone Partners,2023-12-01,1.31%
Riverstone Partners,2024-01-01,-0.99%
Riverstone Partners,2024-02-01,3.18%
Riverstone Partners,2024-03-01,-0.46%
Riverstone Partners,2024-04-01,3.03%
Riverstone Partners,2024-05-01,3.72%
Riverstone Partners,2024-06-01,1.35%
Riverstone Partners,2024-07-01,1.92%
Riverstone Partners,2024-08-01,1.83%
Riverstone Partners,2024-09-01,-1.33%
Riverstone Partners,2024-10-01,0.14%
Riverstone Partners,2024-11-01,1.04%
Riverstone Partners,2024-12-01,-0.46%
Cobalt Investments,2022-01-01,0.0146
Cobalt Investments,2022-02-01,0.0309
Cobalt Investments,2022-03-01,0.0141
Cobalt Investments,2022-04-01,0.0227
Cobalt Investments,2022-05-01,0.0428
Cobalt Investments,2022-06-01,-0.0099
Cobalt Investments,2022-07-01,0.0021
Cobalt Investments,2022-08-01,0.0112
Cobalt Investments,2022-09-01,0.0316
Cobalt Investments,2022-10-01,0.0291
Cobalt Investments,2022-11-01,-0.0068
Cobalt Investments,2022-12-01,0.0119
Cobalt Investments,2023-01-01,0.0308
Cobalt Investments,2023-02-01,0.0101
Cobalt Investments,2023-03-01,0.0412
Cobalt Investments,2023-04-01,0.0225
Cobalt Investments,2023-05-01,0.0177
Cobalt Investments,2023-06-01,0.0248
Cobalt Investments,2023-07-01,-0.0053
Cobalt Investments,2023-08-01,-0.0013
Cobalt Investments,2023-09-01,0.0433
Cobalt Investments,2023-10-01,0.0316
Cobalt Investments,2023-11-01,0.0066
Cobalt Investments,2023-12-01,-0.0084
Cobalt Investments,2024-01-01,0.0212
Cobalt Investments,2024-02-01,0.0269
Cobalt Investments,2024-03-01,0.0396
Cobalt Investments,2024-04-01,-0.0001
Cobalt Investments,2024-05-01,-0.0085
Cobalt Investments,2024-06-01,-0.0096
Cobalt Investments,2024-07-01,0.0296
Cobalt Investments,2024-08-01,-0.0143
Cobalt Investments,2024-09-01,0.0191
Cobalt Investments,2024-10-01,0.0417
Cobalt Investments,2024-11-01,0.0114
Cobalt Investments,2024-12-01,0.0219
Everest Macro Fund,2015-01-01,2.27%
Everest Macro Fund,2015-02-01,1.86%
Everest Macro Fund,2015-03-01,-2.59%
Everest Macro Fund,2015-04-01,-0.08%
Everest Macro Fund,2015-05-01,1.58%
Everest Macro Fund,2015-06-01,-0.59%
Everest Macro Fund,2015-07-01,2.47%
Everest Macro Fund,2015-08-01,1.02%
Everest Macro Fund,2015-09-01,3.19%
Everest Macro Fund,2015-10-01,0.55%
Everest Macro Fund,2015-11-01,2.83%
Everest Macro Fund,2015-12-01,-3.28%
Everest Macro Fund,2016-01-01,-0.32%
Everest Macro Fund,2016-02-01,0.62%
Everest Macro Fund,2016-03-01,4.93%
Everest Macro Fund,2016-04-01,-0.89%
Everest Macro Fund,2016-05-01,-2.83%
Everest Macro Fund,2016-06-01,-2.34%
Everest Macro Fund,2016-07-01,-0.42%
Everest Macro Fund,2016-08-01,-0.86%
Everest Macro Fund,2016-09-01,-1.35%
Everest Macro Fund,2016-10-01,1.69%
Everest Macro Fund,2016-11-01,1.49%
Everest Macro Fund,2016-12-01,-1.72%
Everest Macro Fund,2017-01-01,2.5%
Everest Macro Fund,2017-02-01,1.62%
Everest Macro Fund,2017-03-01,-1.3%
Everest Macro Fund,2017-04-01,4.6%
Everest Macro Fund,2017-05-01,0.4%
Everest Macro Fund,2017-06-01,3.34%
Everest Macro Fund,2017-07-01,2.45%
Everest Macro Fund,2017-08-01,-1.22%
Everest Macro Fund,2017-09-01,1.57%
Everest Macro Fund,2017-10-01,0.52%
Everest Macro Fund,2017-11-01,2.08%
Everest Macro Fund,2017-12-01,4.51%
Everest Macro Fund,2018-01-01,-0.31%
Everest Macro Fund,2018-02-01,1.7%
Everest Macro Fund,2018-03-01,3.77%
Everest Macro Fund,2018-04-01,-1.95%
Everest Macro Fund,2018-05-01,-4.5%
Everest Macro Fund,2018-06-01,-5.91%
Everest Macro Fund,2018-07-01,-7.04%
Everest Macro Fund,2018-08-01,-5.56%
Everest Macro Fund,2018-09-01,2.44%
Everest Macro Fund,2018-10-01,1.28%
Everest Macro Fund,2018-11-01,0.92%
Everest Macro Fund,2018-12-01,-2.14%
Everest Macro Fund,2019-01-01,-0.73%
Everest Macro Fund,2019-02-01,1.32%
Everest Macro Fund,2019-03-01,1.08%
Everest Macro Fund,2019-04-01,0.11%
Everest Macro Fund,2019-05-01,-3.37%
Everest Macro Fund,2019-06-01,-0.24%
Everest Macro Fund,2019-07-01,2.21%
Everest Macro Fund,2019-08-01,1.11%
Everest Macro Fund,2019-09-01,1.89%
Everest Macro Fund,2019-10-01,-1.02%
Everest Macro Fund,2019-11-01,1.71%
Everest Macro Fund,2019-12-01,-1.14%
Everest Macro Fund,2020-01-01,-0.78%
Everest Macro Fund,2020-02-01,2.53%
Everest Macro Fund,2020-03-01,2.03%
Everest Macro Fund,2020-04-01,0.52%
Everest Macro Fund,2020-05-01,1.26%
Everest Macro Fund,2020-06-01,1.47%
Everest Macro Fund,2020-07-01,0.73%
Everest Macro Fund,2020-08-01,4.56%
Everest Macro Fund,2020-09-01,1.67%
Everest Macro Fund,2020-10-01,3.33%
Everest Macro Fund,2020-11-01,-2.26%
Everest Macro Fund,2020-12-01,-2.31%
Everest Macro Fund,2021-01-01,0.22%
Everest Macro Fund,2021-02-01,0.73%
Everest Macro Fund,2021-03-01,-1.53%
Everest Macro Fund,2021-04-01,1.23%
Everest Macro Fund,2021-05-01,-1.04%
Everest Macro Fund,2021-06-01,-0.11%
Everest Macro Fund,2021-07-01,1.22%
Everest Macro Fund,2021-08-01,-0.42%
Everest Macro Fund,2021-09-01,2.84%
Everest Macro Fund,2021-10-01,2.11%
Everest Macro Fund,2021-11-01,2.33%
Everest Macro Fund,2021-12-01,-3.51%
Everest Macro Fund,2022-01-01,3.47%
Everest Macro Fund,2022-02-01,0.59%
Everest Macro Fund,2022-03-01,1.47%
Everest Macro Fund,2022-04-01,2.7%
Everest Macro Fund,2022-05-01,0.31%
Everest Macro Fund,2022-06-01,1.78%
Everest Macro Fund,2022-07-01,0.58%
Everest Macro Fund,2022-08-01,0.92%
Everest Macro Fund,2022-09-01,-0.94%
Everest Macro Fund,2022-10-01,0.1%
Everest Macro Fund,2022-11-01,-0.91%
Everest Macro Fund,2022-12-01,-1.67%
Everest Macro Fund,2023-01-01,0.51%
Everest Macro Fund,2023-02-01,3.89%
Everest Macro Fund,2023-03-01,3.27%
Everest Macro Fund,2023-04-01,1.87%
Everest Macro Fund,2023-05-01,-1.84%
Everest Macro Fund,2023-06-01,-2.71%
Everest Macro Fund,2023-07-01,2.1%
Everest Macro Fund,2023-08-01,2.49%
Everest Macro Fund,2023-09-01,3.26%
Everest Macro Fund,2023-10-01,1.45%
Everest Macro Fund,2023-11-01,1.41%
Everest Macro Fund,2023-12-01,2.18%
Everest Macro Fund,2024-01-01,1.47%
Everest Macro Fund,2024-02-01,2.26%
Everest Macro Fund,2024-03-01,0.67%
Everest Macro Fund,2024-04-01,2.12%
Everest Macro Fund,2024-05-01,-0.79%
Everest Macro Fund,2024-06-01,2.74%
Everest Macro Fund,2024-07-01,2.46%
Everest Macro Fund,2024-08-01,2.18%
Everest Macro Fund,2024-09-01,0.54%
Everest Macro Fund,2024-10-01,-1.27%
Everest Macro Fund,2024-11-01,1.29%
Everest Macro Fund,2024-12-01,1.85%
Pinnacle Investments,2024-01-01,-0.12%
Pinnacle Investments,2024-02-01,0.15%
Pinnacle Investments,2024-03-01,-0.35%
Pinnacle Investments,2024-04-01,-0.4%
Pinnacle Investments,2024-05-01,-0.66%
Pinnacle Investments,2024-06-01,-0.33%
Pinnacle Investments,2024-07-01,0.34%
Pinnacle Investments,2024-08-01,-0.92%
Pinnacle Investments,2024-09-01,0.17%
Pinnacle Investments,2024-10-01,0.17%
Pinnacle Investments,2024-11-01,-0.21%
Pinnacle Investments,2024-12-01,-0.27%
Kestrel Associates,2024-07-01,3.53%
Kestrel Associates,2024-08-01,-4.17%
Kestrel Associates,2024-09-01,0.59%
Kestrel Associates,2024-10-01,-4.57%
Kestrel Associates,2024-11-01,-5.18%
Kestrel Associates,2024-12-01,-10.69%
Fjord Asset Management,2024-01-01,0.009
Fjord Asset Management,2024-02-01,-0.0028
Fjord Asset Management,2024-03-01,0.0052
Fjord Asset Management,2024-04-01,0.0286
Fjord Asset Management,2024-05-01,0.003
Fjord Asset Management,2024-06-01,0.004
Fjord Asset Management,2024-07-01,0.031
Fjord Asset Management,2024-08-01,0.0024
Fjord Asset Management,2024-09-01,0.0046
Fjord Asset Management,2024-10-01,-0.0041
Fjord Asset Management,2024-11-01,0.0139
Fjord Asset Management,2024-12-01,0.0402
Tideline Macro Fund,2015-01-01,-1.32%
Tideline Macro Fund,2015-02-01,-1.99%
Tideline Macro Fund,2015-03-01,2.32%
Tideline Macro Fund,2015-04-01,-0.23%
Tideline Macro Fund,2015-05-01,2.26%
Tideline Macro Fund,2015-06-01,0.73%
Tideline Macro Fund,2015-07-01,0.45%
Tideline Macro Fund,2015-08-01,2.74%
Tideline Macro Fund,2015-09-01,0.09%
Tideline Macro Fund,2015-10-01,3.37%
Tideline Macro Fund,2015-11-01,1.82%
Tideline Macro Fund,2015-12-01,-0.67%
Tideline Macro Fund,2016-01-01,0.1%
Tideline Macro Fund,2016-02-01,0.98%
Tideline Macro Fund,2016-03-01,1.81%
Tideline Macro Fund,2016-04-01,-0.99%
Tideline Macro Fund,2016-05-01,0.8%
Tideline Macro Fund,2016-06-01,-2.37%
Tideline Macro Fund,2016-07-01,4.68%
Tideline Macro Fund,2016-08-01,2.45%
Tideline Macro Fund,2016-09-01,-1.63%
Tideline Macro Fund,2016-10-01,3.22%
Tideline Macro Fund,2016-11-01,-0.64%
Tideline Macro Fund,2016-12-01,1.48%
Tideline Macro Fund,2017-01-01,1.33%
Tideline Macro Fund,2017-02-01,6.16%
Tideline Macro Fund,2017-03-01,1.31%
Tideline Macro Fund,2017-04-01,3.14%
Tideline Macro Fund,2017-05-01,1.14%
Tideline Macro Fund,2017-06-01,0.15%
Tideline Macro Fund,2017-07-01,-1.35%
Tideline Macro Fund,2017-08-01,2.15%
Tideline Macro Fund,2017-09-01,-0.87%
Tideline Macro Fund,2017-10-01,1.62%
Tideline Macro Fund,2017-11-01,-2.26%
Tideline Macro Fund,2017-12-01,2.83%
Tideline Macro Fund,2018-01-01,1.94%
Tideline Macro Fund,2018-02-01,1.6%
Tideline Macro Fund,2018-03-01,3.91%
Tideline Macro Fund,2018-04-01,-0.33%
Tideline Macro Fund,2018-05-01,-6.55%
Tideline Macro Fund,2018-06-01,-8.62%
Tideline Macro Fund,2018-07-01,-11.47%
Tideline Macro Fund,2018-08-01,-10.71%
Tideline Macro Fund,2018-09-01,0.41%
Tideline Macro Fund,2018-10-01,2.4%
Tideline Macro Fund,2018-11-01,1.94%
Tideline Macro Fund,2018-12-01,3.66%
Tideline Macro Fund,2019-01-01,-1.45%
Tideline Macro Fund,2019-02-01,0.1%
Tideline Macro Fund,2019-03-01,-0.3%
Tideline Macro Fund,2019-04-01,-1.12%
Tideline Macro Fund,2019-05-01,0.72%
Tideline Macro Fund,2019-06-01,2.01%
Tideline Macro Fund,2019-07-01,-0.1%
Tideline Macro Fund,2019-08-01,3.73%
Tideline Macro Fund,2019-09-01,1.37%
Tideline Macro Fund,2019-10-01,1.13%
Tideline Macro Fund,2019-11-01,2.53%
Tideline Macro Fund,2019-12-01,2.42%
Tideline Macro Fund,2020-01-01,3.32%
Tideline Macro Fund,2020-02-01,2.47%
Tideline Macro Fund,2020-03-01,-0.45%
Tideline Macro Fund,2020-04-01,2.33%
Tideline Macro Fund,2020-05-01,3.09%
Tideline Macro Fund,2020-06-01,2.74%
Tideline Macro Fund,2020-07-01,4.17%
Tideline Macro Fund,2020-08-01,1.78%
Tideline Macro Fund,2020-09-01,-0.1%
Tideline Macro Fund,2020-10-01,2.54%
Tideline Macro Fund,2020-11-01,1.06%
Tideline Macro Fund,2020-12-01,5.39%
Tideline Macro Fund,2021-01-01,1.57%
Tideline Macro Fund,2021-02-01,-0.41%
Tideline Macro Fund,2021-03-01,0.87%
Tideline Macro Fund,2021-04-01,1.25%
Tideline Macro Fund,2021-05-01,3.75%
Tideline Macro Fund,2021-06-01,1.95%
Tideline Macro Fund,2021-07-01,-1.03%
Tideline Macro Fund,2021-08-01,3.67%
Tideline Macro Fund,2021-09-01,1.05%
Tideline Macro Fund,2021-10-01,-3.4%
Tideline Macro Fund,2021-11-01,-2.03%
Tideline Macro Fund,2021-12-01,0.18%
Tideline Macro Fund,2022-01-01,-0.78%
Tideline Macro Fund,2022-02-01,2%
Tideline Macro Fund,2022-03-01,1.51%
Tideline Macro Fund,2022-04-01,-0.59%
Tideline Macro Fund,2022-05-01,-3.48%
Tideline Macro Fund,2022-06-01,1.31%
Tideline Macro Fund,2022-07-01,-1.11%
Tideline Macro Fund,2022-08-01,0.09%
Tideline Macro Fund,2022-09-01,1.54%
Tideline Macro Fund,2022-10-01,0.64%
Tideline Macro Fund,2022-11-01,-0.98%
Tideline Macro Fund,2022-12-01,-1.33%
Tideline Macro Fund,2023-01-01,1.26%
Tideline Macro Fund,2023-02-01,2.99%
Tideline Macro Fund,2023-03-01,2.06%
Tideline Macro Fund,2023-04-01,-1.72%
Tideline Macro Fund,2023-05-01,-0.04%
Tideline Macro Fund,2023-06-01,5.3%
Tideline Macro Fund,2023-07-01,-1.51%
Tideline Macro Fund,2023-08-01,1.22%
Tideline Macro Fund,2023-09-01,-2.61%
Tideline Macro Fund,2023-10-01,-0.15%
Tideline Macro Fund,2023-11-01,1.88%
Tideline Macro Fund,2023-12-01,0.37%
Tideline Macro Fund,2024-01-01,4.23%
Tideline Macro Fund,2024-02-01,1.26%
Tideline Macro Fund,2024-03-01,2.93%
Tideline Macro Fund,2024-04-01,1.66%
Tideline Macro Fund,2024-05-01,3.64%
Tideline Macro Fund,2024-06-01,1.41%
Tideline Macro Fund,2024-07-01,3.53%
Tideline Macro Fund,2024-08-01,2.62%
Tideline Macro Fund,2024-09-01,0.9%
Tideline Macro Fund,2024-10-01,0.07%
Tideline Macro Fund,2024-11-01,1.76%
Tideline Macro Fund,2024-12-01,3.25%
Brightwater Investments,2015-01-01,-1.1%
Brightwater Investments,2015-02-01,0.3%
Brightwater Investments,2015-03-01,9.66%
Brightwater Investments,2015-04-01,2.63%
Brightwater Investments,2015-05-01,3.66%
Brightwater Investments,2015-06-01,-3.17%
Brightwater Investments,2015-07-01,-2.66%
Brightwater Investments,2015-08-01,1.23%
Brightwater Investments,2015-09-01,6.83%
Brightwater Investments,2015-10-01,-11.42%
Brightwater Investments,2015-11-01,0.85%
Brightwater Investments,2015-12-01,-4.54%
Brightwater Investments,2016-01-01,-6.08%
Brightwater Investments,2016-02-01,-0.72%
Brightwater Investments,2016-03-01,5.32%
Brightwater Investments,2016-04-01,-0.18%
Brightwater Investments,2016-05-01,-0.41%
Brightwater Investments,2016-06-01,-1.21%
Brightwater Investments,2016-07-01,0.72%
Brightwater Investments,2016-08-01,-6.72%
Brightwater Investments,2016-09-01,3.68%
Brightwater Investments,2016-10-01,-3.49%
Brightwater Investments,2016-11-01,-1.07%
Brightwater Investments,2016-12-01,4.44%
Brightwater Investments,2017-01-01,3.11%
Brightwater Investments,2017-02-01,5.26%
Brightwater Investments,2017-03-01,1.18%
Brightwater Investments,2017-04-01,-1%
Brightwater Investments,2017-05-01,-3.65%
Brightwater Investments,2017-06-01,-13.35%
Brightwater Investments,2017-07-01,-3.63%
Brightwater Investments,2017-08-01,4.36%
Brightwater Investments,2017-09-01,-1.79%
Brightwater Investments,2017-10-01,2.72%
Brightwater Investments,2017-11-01,5.02%
Brightwater Investments,2017-12-01,-1.22%
Brightwater Investments,2018-01-01,-2.93%
Brightwater Investments,2018-02-01,3.15%
Brightwater Investments,2018-03-01,-0.96%
Brightwater Investments,2018-04-01,-1.65%
Brightwater Investments,2018-05-01,-3.17%
Brightwater Investments,2018-06-01,-0.43%
Brightwater Investments,2018-07-01,0.73%
Brightwater Investments,2018-08-01,-0.87%
Brightwater Investments,2018-09-01,-4.15%
Brightwater Investments,2018-10-01,4.33%
Brightwater Investments,2018-11-01,4.98%
Brightwater Investments,2018-12-01,1.95%
Brightwater Investments,2019-01-01,-2.01%
Brightwater Investments,2019-02-01,5.55%
Brightwater Investments,2019-03-01,-2.07%
Brightwater Investments,2019-04-01,3.37%
Brightwater Investments,2019-05-01,4.08%
Brightwater Investments,2019-06-01,-1.92%
Brightwater Investments,2019-07-01,-6.02%
Brightwater Investments,2019-08-01,-0.22%
Brightwater Investments,2019-09-01,-5.09%
Brightwater Investments,2019-10-01,-1.92%
Brightwater Investments,2019-11-01,5.33%
Brightwater Investments,2019-12-01,3.36%
Brightwater Investments,2020-01-01,0.48%
Brightwater Investments,2020-02-01,-4.67%
Brightwater Investments,2020-03-01,1.09%
Brightwater Investments,2020-04-01,-1.11%
Brightwater Investments,2020-05-01,2.3%
Brightwater Investments,2020-06-01,0.21%
Brightwater Investments,2020-07-01,0.28%
Brightwater Investments,2020-08-01,4.75%
Brightwater Investments,2020-09-01,-2.31%
Brightwater Investments,2020-10-01,6.8%
Brightwater Investments,2020-11-01,6.14%
Brightwater Investments,2020-12-01,5.29%
Brightwater Investments,2021-01-01,-1.04%
Brightwater Investments,2021-02-01,-3.16%
Brightwater Investments,2021-03-01,8.35%
Brightwater Investments,2021-04-01,-9.32%
Brightwater Investments,2021-05-01,0.77%
Brightwater Investments,2021-06-01,5.24%
Brightwater Investments,2021-07-01,-5.11%
Brightwater Investments,2021-08-01,-0.44%
Brightwater Investments,2021-09-01,-0.55%
Brightwater Investments,2021-10-01,-1.66%
Brightwater Investments,2021-11-01,1.44%
Brightwater Investments,2021-12-01,-0.69%
Brightwater Investments,2022-01-01,-11.24%
Brightwater Investments,2022-02-01,-4.85%
Brightwater Investments,2022-03-01,-7.86%
Brightwater Investments,2022-04-01,10.53%
Brightwater Investments,2022-05-01,5.1%
Brightwater Investments,2022-06-01,9.56%
Brightwater Investments,2022-07-01,-6.37%
Brightwater Investments,2022-08-01,11.62%
Brightwater Investments,2022-09-01,2.95%
Brightwater Investments,2022-10-01,-2.99%
Brightwater Investments,2022-11-01,-1.38%
Brightwater Investments,2022-12-01,0.36%
Brightwater Investments,2023-01-01,3.79%
Brightwater Investments,2023-02-01,-5.09%
Brightwater Investments,2023-03-01,-10.17%
Brightwater Investments,2023-04-01,2.49%
Brightwater Investments,2023-05-01,4.59%
Brightwater Investments,2023-06-01,7.27%
Brightwater Investments,2023-07-01,-7.38%
Brightwater Investments,2023-08-01,-2.01%
Brightwater Investments,2023-09-01,0.79%
Brightwater Investments,2023-10-01,-4%
Brightwater Investments,2023-11-01,7.48%
Brightwater Investments,2023-12-01,-5%
Brightwater Investments,2024-01-01,4.17%
Brightwater Investments,2024-02-01,-1.21%
Brightwater Investments,2024-03-01,7.73%
Brightwater Investments,2024-04-01,8.66%
Brightwater Investments,2024-05-01,-7.15%
Brightwater Investments,2024-06-01,8.03%
Brightwater Investments,2024-07-01,-13.67%
Brightwater Investments,2024-08-01,-3.06%
Brightwater Investments,2024-09-01,4.87%
Brightwater Investments,2024-10-01,1.2%
Brightwater Investments,2024-11-01,1.51%
Brightwater Investments,2024-12-01,5.47%
Xenon Group,2021-01-01,1.18%
Xenon Group,2021-02-01,-0.15%
Xenon Group,2021-03-01,2.41%
Xenon Group,2021-04-01,2.55%
Xenon Group,2021-05-01,4.36%
Xenon Group,2021-06-01,-0.69%
Xenon Group,2021-07-01,1.84%
Xenon Group,2021-08-01,0.88%
Xenon Group,2021-09-01,-1.24%
Xenon Group,2021-10-01,-1.28%
Xenon Group,2021-11-01,-0.75%
Xenon Group,2021-12-01,0.78%
Xenon Group,2022-01-01,0.95%
Xenon Group,2022-02-01,3.24%
Xenon Group,2022-03-01,1.61%
Xenon Group,2022-04-01,2.75%
Xenon Group,2022-05-01,0.11%
Xenon Group,2022-06-01,0.4%
Xenon Group,2022-07-01,-2.11%
Xenon Group,2022-08-01,2.32%
Xenon Group,2022-09-01,1.49%
Xenon Group,2022-10-01,1.83%
Xenon Group,2022-11-01,-0.05%
Xenon Group,2022-12-01,-1.59%
Xenon Group,2023-01-01,2.48%
Xenon Group,2023-02-01,1.27%
Xenon Group,2023-03-01,0.79%
Xenon Group,2023-04-01,0.5%
Xenon Group,2023-05-01,-0.68%
Xenon Group,2023-06-01,-1.28%
Xenon Group,2023-07-01,2.73%
Xenon Group,2023-08-01,0.2%
Xenon Group,2023-09-01,-0.06%
Xenon Group,2023-10-01,-1.6%
Xenon Group,2023-11-01,0.4%
Xenon Group,2023-12-01,0.03%
Xenon Group,2024-01-01,1.13%
Xenon Group,2024-02-01,3.2%
Xenon Group,2024-03-01,0.4%
Xenon Group,2024-04-01,-2.01%
Xenon Group,2024-05-01,0.35%
Xenon Group,2024-06-01,-1.06%
Xenon Group,2024-07-01,3.42%
Xenon Group,2024-08-01,1.61%
Xenon Group,2024-09-01,1.32%
Xenon Group,2024-10-01,1.53%
Xenon Group,2024-11-01,2.67%
Xenon Group,2024-12-01,1.15%
Meridian Strategies,2020-01-01,-0.0249
Meridian Strategies,2020-02-01,-0.0177
Meridian Strategies,2020-03-01,-0.0002
Meridian Strategies,2020-04-01,0.0018
Meridian Strategies,2020-05-01,0.0254
Meridian Strategies,2020-06-01,0.0077
Meridian Strategies,2020-07-01,0.019
Meridian Strategies,2020-08-01,0.0011
Meridian Strategies,2020-09-01,-0.0084
Meridian Strategies,2020-10-01,0.0068
Meridian Strategies,2020-11-01,0
Meridian Strategies,2020-12-01,0.0057
Meridian Strategies,2021-01-01,0.0219
Meridian Strategies,2021-02-01,0.003
Meridian Strategies,2021-03-01,0.0061
Meridian Strategies,2021-04-01,-0.0016
Meridian Strategies,2021-05-01,0.0228
Meridian Strategies,2021-06-01,0.0077
Meridian Strategies,2021-07-01,0.0211
Meridian Strategies,2021-08-01,0.0191
Meridian Strategies,2021-09-01,0.0115
Meridian Strategies,2021-10-01,0.0017
Meridian Strategies,2021-11-01,0.0143
Meridian Strategies,2021-12-01,0.0149
Meridian Strategies,2022-01-01,0.0157
Meridian Strategies,2022-02-01,0.0155
Meridian Strategies,2022-03-01,-0.0178
Meridian Strategies,2022-04-01,0.0048
Meridian Strategies,2022-05-01,-0.0007
Meridian Strategies,2022-06-01,-0.0133
Meridian Strategies,2022-07-01,-0.0056
Meridian Strategies,2022-08-01,0.0248
Meridian Strategies,2022-09-01,-0.0017
Meridian Strategies,2022-10-01,0.0028
Meridian Strategies,2022-11-01,-0.0061
Meridian Strategies,2022-12-01,-0.0086
Meridian Strategies,2023-01-01,0.0121
Meridian Strategies,2023-02-01,0.0045
Meridian Strategies,2023-03-01,0.0136
Meridian Strategies,2023-04-01,-0.0116
Meridian Strategies,2023-05-01,0.0011
Meridian Strategies,2023-06-01,0.0078
Meridian Strategies,2023-07-01,-0.0027
Meridian Strategies,2023-08-01,-0.0011
Meridian Strategies,2023-09-01,0.0007
Meridian Strategies,2023-10-01,-0.0212
Meridian Strategies,2023-11-01,0.0347
Meridian Strategies,2023-12-01,0.0248
Meridian Strategies,2024-01-01,0.0184
Meridian Strategies,2024-02-01,0.0382
Meridian Strategies,2024-03-01,-0.0128
Meridian Strategies,2024-04-01,0.0109
Meridian Strategies,2024-05-01,-0.0015
Meridian Strategies,2024-06-01,0.0271
Meridian Strategies,2024-07-01,0.006
Meridian Strategies,2024-08-01,-0.007
Meridian Strategies,2024-09-01,-0.002
Meridian Strategies,2024-10-01,0.0022
Meridian Strategies,2024-11-01,0.006
Meridian Strategies,2024-12-01,0.0057
Brightwater Strategies,2024-01-01,-0.12%
Brightwater Strategies,2024-02-01,0.07%
Brightwater Strategies,2024-03-01,0.01%
Brightwater Strategies,2024-04-01,-0.13%
Brightwater Strategies,2024-05-01,0.13%
Brightwater Strategies,2024-06-01,-0.1%
Brightwater Strategies,2024-07-01,-0.08%
Brightwater Strategies,2024-08-01,-0.01%
Brightwater Strategies,2024-09-01,0.11%
Brightwater Strategies,2024-10-01,-0.2%
Brightwater Strategies,2024-11-01,-0.31%
Brightwater Strategies,2024-12-01,-0.23%
Drawbridge Holdings,2022-01-01,-2.27%
Drawbridge Holdings,2022-02-01,4.12%
Drawbridge Holdings,2022-03-01,1.15%
Drawbridge Holdings,2022-04-01,0.3%
Drawbridge Holdings,2022-05-01,1.74%
Drawbridge Holdings,2022-06-01,2.6%
Drawbridge Holdings,2022-07-01,1.75%
Drawbridge Holdings,2022-08-01,2.84%
Drawbridge Holdings,2022-09-01,-0.89%
Drawbridge Holdings,2022-10-01,0.07%
Drawbridge Holdings,2022-11-01,-1.11%
Drawbridge Holdings,2022-12-01,3.2%
Drawbridge Holdings,2023-01-01,-2.77%
Drawbridge Holdings,2023-02-01,-11.25%
Drawbridge Holdings,2023-03-01,-10.98%
Drawbridge Holdings,2023-04-01,-10.45%
Drawbridge Holdings,2023-05-01,2.97%
Drawbridge Holdings,2023-06-01,-0.61%
Drawbridge Holdings,2023-07-01,4.2%
Drawbridge Holdings,2023-08-01,2.72%
Drawbridge Holdings,2023-09-01,-1.42%
Drawbridge Holdings,2023-10-01,2.12%
Drawbridge Holdings,2023-11-01,3.22%
Drawbridge Holdings,2023-12-01,2.99%
Drawbridge Holdings,2024-01-01,1.54%
Drawbridge Holdings,2024-02-01,-2.74%
Drawbridge Holdings,2024-03-01,2.94%
Drawbridge Holdings,2024-04-01,2.18%
Drawbridge Holdings,2024-05-01,2.68%
Drawbridge Holdings,2024-06-01,-1.74%
Drawbridge Holdings,2024-07-01,2.93%
Drawbridge Holdings,2024-08-01,1.53%
Drawbridge Holdings,2024-09-01,-0.16%
Drawbridge Holdings,2024-10-01,0.4%
Drawbridge Holdings,2024-11-01,-2.33%
Drawbridge Holdings,2024-12-01,-0.79%
